date,open,high,low,close,volume,date_1w,open_1w,high_1w,low_1w,close_1w,volume_1w,extrema_1w,change_1w
2024-12-19 23:45:00+00:00,0.8882,0.8912,0.8797,0.8801,2924390.0,,,,,,,,
2024-12-20 00:00:00+00:00,0.8801,0.8847,0.8735,0.8737,5793165.0,,,,,,,,
2024-12-20 00:15:00+00:00,0.8737,0.8846,0.8681,0.8842,9623908.0,,,,,,,,
2024-12-20 00:30:00+00:00,0.8842,0.8909,0.8834,0.8906,4186903.0,,,,,,,,
2024-12-20 00:45:00+00:00,0.8906,0.8928,0.8835,0.8863,2327969.0,,,,,,,,
2024-12-20 01:00:00+00:00,0.8863,0.8904,0.8789,0.8822,3168017.0,,,,,,,,
2024-12-20 01:15:00+00:00,0.8822,0.8906,0.8785,0.8863,2700366.0,,,,,,,,
2024-12-20 01:30:00+00:00,0.8863,0.8927,0.88,0.8848,4680937.0,,,,,,,,
2024-12-20 01:45:00+00:00,0.8848,0.8907,0.8846,0.8885,4854537.0,,,,,,,,
2024-12-20 02:00:00+00:00,0.8885,0.8992,0.8868,0.8978,3974460.0,,,,,,,,
2024-12-20 02:15:00+00:00,0.8978,0.9069,0.8927,0.9064,4352284.0,,,,,,,,
2024-12-20 02:30:00+00:00,0.9064,0.9179,0.9056,0.917,5412702.0,,,,,,,,
2024-12-20 02:45:00+00:00,0.917,0.918,0.9119,0.9148,3283367.0,,,,,,,,
2024-12-20 03:00:00+00:00,0.9148,0.916,0.9075,0.9107,2968040.0,,,,,,,,
2024-12-20 03:15:00+00:00,0.9107,0.9161,0.9083,0.9089,2868990.0,,,,,,,,
2024-12-20 03:30:00+00:00,0.9089,0.9093,0.9025,0.9037,1467224.0,,,,,,,,
2024-12-20 03:45:00+00:00,0.9037,0.9088,0.9029,0.9046,1553625.0,,,,,,,,
2024-12-20 04:00:00+00:00,0.9046,0.9077,0.9007,0.9027,2323926.0,,,,,,,,
2024-12-20 04:15:00+00:00,0.9027,0.9083,0.8998,0.9076,1545338.0,,,,,,,,
2024-12-20 04:30:00+00:00,0.9076,0.9079,0.9035,0.9055,2088127.0,,,,,,,,
2024-12-20 04:45:00+00:00,0.9055,0.9081,0.8976,0.8994,2808103.0,,,,,,,,
2024-12-20 05:00:00+00:00,0.8994,0.9035,0.8988,0.8991,2197570.0,,,,,,,,
2024-12-20 05:15:00+00:00,0.8991,0.8998,0.8937,0.8958,1778299.0,,,,,,,,
2024-12-20 05:30:00+00:00,0.8958,0.8983,0.8927,0.8958,1524729.0,,,,,,,,
2024-12-20 05:45:00+00:00,0.8958,0.8959,0.8835,0.8841,5578509.0,,,,,,,,
2024-12-20 06:00:00+00:00,0.8841,0.8893,0.8833,0.8853,3354706.0,,,,,,,,
2024-12-20 06:15:00+00:00,0.8853,0.8944,0.8824,0.8828,4059604.0,,,,,,,,
2024-12-20 06:30:00+00:00,0.8828,0.8844,0.8738,0.8739,4957367.0,,,,,,,,
2024-12-20 06:45:00+00:00,0.8739,0.881,0.8701,0.878,4556578.0,,,,,,,,
2024-12-20 07:00:00+00:00,0.878,0.9041,0.8779,0.8985,8558941.0,,,,,,,,
2024-12-20 07:15:00+00:00,0.8985,0.9054,0.8968,0.9007,3603636.0,,,,,,,,
2024-12-20 07:30:00+00:00,0.9007,0.9038,0.8944,0.8966,3042519.0,,,,,,,,
2024-12-20 07:45:00+00:00,0.8966,0.8977,0.8864,0.8884,3311959.0,,,,,,,,
2024-12-20 08:00:00+00:00,0.8884,0.8893,0.8674,0.8739,7237961.0,,,,,,,,
2024-12-20 08:15:00+00:00,0.8739,0.8772,0.8551,0.8562,9411428.0,,,,,,,,
2024-12-20 08:30:00+00:00,0.8562,0.8582,0.8443,0.8467,12215210.0,,,,,,,,
2024-12-20 08:45:00+00:00,0.8467,0.8542,0.8353,0.8416,17370807.0,,,,,,,,
2024-12-20 09:00:00+00:00,0.8416,0.8498,0.8253,0.8273,18528010.0,,,,,,,,
2024-12-20 09:15:00+00:00,0.8273,0.8387,0.8251,0.8273,13756212.0,,,,,,,,
2024-12-20 09:30:00+00:00,0.8273,0.8395,0.8269,0.8353,16466148.0,,,,,,,,
2024-12-20 09:45:00+00:00,0.8353,0.8365,0.8179,0.8181,11160041.0,,,,,,,,
2024-12-20 10:00:00+00:00,0.8181,0.8231,0.7882,0.7888,25265748.0,,,,,,,,
2024-12-20 10:15:00+00:00,0.7888,0.8098,0.7842,0.8023,36168021.0,,,,,,,,
2024-12-20 10:30:00+00:00,0.8023,0.8127,0.7925,0.803,15045305.0,,,,,,,,
2024-12-20 10:45:00+00:00,0.803,0.8036,0.7907,0.7935,9079969.0,,,,,,,,
2024-12-20 11:00:00+00:00,0.7935,0.8093,0.7923,0.8007,10919566.0,,,,,,,,
2024-12-20 11:15:00+00:00,0.8007,0.806,0.7859,0.7888,14421189.0,,,,,,,,
2024-12-20 11:30:00+00:00,0.7888,0.7978,0.768,0.7683,49501117.0,,,,,,,,
2024-12-20 11:45:00+00:00,0.7683,0.7766,0.7618,0.7621,30985750.0,,,,,,,,
2024-12-20 12:00:00+00:00,0.7621,0.7809,0.7609,0.777,17745771.0,,,,,,,,
2024-12-20 12:15:00+00:00,0.777,0.8106,0.7732,0.8101,31282069.0,,,,,,,,
2024-12-20 12:30:00+00:00,0.8101,0.83,0.8055,0.8241,17375427.0,,,,,,,,
2024-12-20 12:45:00+00:00,0.8241,0.8343,0.8205,0.8302,12059359.0,,,,,,,,
2024-12-20 13:00:00+00:00,0.8302,0.8366,0.8228,0.8292,19781275.0,,,,,,,,
2024-12-20 13:15:00+00:00,0.8292,0.8298,0.8125,0.8151,10865271.0,,,,,,,,
2024-12-20 13:30:00+00:00,0.8151,0.8625,0.8142,0.8618,31788520.0,,,,,,,,
2024-12-20 13:45:00+00:00,0.8618,0.8659,0.8535,0.8606,10984492.0,,,,,,,,
2024-12-20 14:00:00+00:00,0.8606,0.8613,0.8495,0.857,7416330.0,,,,,,,,
2024-12-20 14:15:00+00:00,0.857,0.8606,0.8499,0.8552,5389855.0,,,,,,,,
2024-12-20 14:30:00+00:00,0.8552,0.8644,0.8514,0.8569,8302048.0,,,,,,,,
2024-12-20 14:45:00+00:00,0.8569,0.8581,0.8437,0.8542,8177553.0,,,,,,,,
2024-12-20 15:00:00+00:00,0.8542,0.867,0.8535,0.8663,6822920.0,,,,,,,,
2024-12-20 15:15:00+00:00,0.8663,0.8852,0.8638,0.8846,9908256.0,,,,,,,,
2024-12-20 15:30:00+00:00,0.8846,0.8897,0.8779,0.885,9669079.0,,,,,,,,
2024-12-20 15:45:00+00:00,0.885,0.8907,0.8721,0.8755,7461099.0,,,,,,,,
2024-12-20 16:00:00+00:00,0.8755,0.8839,0.8706,0.8835,5570242.0,,,,,,,,
2024-12-20 16:15:00+00:00,0.8835,0.8878,0.8767,0.8779,6130351.0,,,,,,,,
2024-12-20 16:30:00+00:00,0.8779,0.8955,0.8751,0.8935,6856150.0,,,,,,,,
2024-12-20 16:45:00+00:00,0.8935,0.8935,0.8692,0.8779,10271310.0,,,,,,,,
2024-12-20 17:00:00+00:00,0.8779,0.8832,0.8743,0.8794,8608890.0,,,,,,,,
2024-12-20 17:15:00+00:00,0.8794,0.8886,0.875,0.8883,11221795.0,,,,,,,,
2024-12-20 17:30:00+00:00,0.8883,0.8884,0.8775,0.8847,4448969.0,,,,,,,,
2024-12-20 17:45:00+00:00,0.8847,0.89,0.8812,0.886,5371600.0,,,,,,,,
2024-12-20 18:00:00+00:00,0.886,0.8912,0.8828,0.8855,3822388.0,,,,,,,,
2024-12-20 18:15:00+00:00,0.8855,0.8886,0.883,0.8875,4214822.0,,,,,,,,
2024-12-20 18:30:00+00:00,0.8875,0.8881,0.8797,0.8868,2196266.0,,,,,,,,
2024-12-20 18:45:00+00:00,0.8868,0.894,0.8844,0.89,2832008.0,,,,,,,,
2024-12-20 19:00:00+00:00,0.89,0.8992,0.8889,0.8974,2148487.0,,,,,,,,
2024-12-20 19:15:00+00:00,0.8974,0.912,0.896,0.9099,5897706.0,,,,,,,,
2024-12-20 19:30:00+00:00,0.9099,0.9226,0.9084,0.9203,9273640.0,,,,,,,,
2024-12-20 19:45:00+00:00,0.9203,0.9225,0.9086,0.9105,4910370.0,,,,,,,,
2024-12-20 20:00:00+00:00,0.9105,0.9195,0.9055,0.9174,3696010.0,,,,,,,,
2024-12-20 20:15:00+00:00,0.9174,0.9176,0.9084,0.912,3086851.0,,,,,,,,
2024-12-20 20:30:00+00:00,0.912,0.9176,0.907,0.9166,4320530.0,,,,,,,,
2024-12-20 20:45:00+00:00,0.9166,0.9241,0.9163,0.9187,4754193.0,,,,,,,,
2024-12-20 21:00:00+00:00,0.9187,0.9242,0.9,0.9033,9018859.0,,,,,,,,
2024-12-20 21:15:00+00:00,0.9033,0.9159,0.9033,0.9101,4695307.0,,,,,,,,
2024-12-20 21:30:00+00:00,0.9101,0.9163,0.9083,0.9112,4382593.0,,,,,,,,
2024-12-20 21:45:00+00:00,0.9112,0.9217,0.9075,0.92,3250034.0,,,,,,,,
2024-12-20 22:00:00+00:00,0.92,0.9299,0.9141,0.9227,4614931.0,,,,,,,,
